"fichero","seccion","linea","castellano","ingles_referencia","EUSKERA"
"copy.ts","AREAS_INTRO","84","DÓNDE TRABAJAMOS","WHERE WE WORK",""
"copy.ts","AREAS_INTRO","86","Somos un estudio de Irún y trabajamos en remoto: con Gipuzkoa, que es nuestra casa, y con toda España.","We are a studio from Irún and we work remotely: with Gipuzkoa, which is home, and with the whole of Spain.",""
"copy.ts","areas","97","Nuestra base. Comercios, hostelería y pymes del Bidasoa, la zona que mejor conocemos.","Our home base. Shops, restaurants and small businesses in the Bidasoa area — the ground we know best.",""
"copy.ts","areas","106","Comercio, hostelería, estudios y profesionales de Donostia y su comarca.","Shops, restaurants, studios and professionals in Donostia and its surroundings.",""
"copy.ts","areas","115","Toda la provincia: Errenteria, Oiartzun, Pasaia, Lezo, Hernani, Tolosa, Eibar.","The whole province: Errenteria, Oiartzun, Pasaia, Lezo, Hernani, Tolosa, Eibar.",""
"copy.ts","areas","124","Restaurantes, hoteles y comercio del casco histórico y la Marina.","Restaurants, hotels and shops in the old town and the Marina.",""
"copy.ts","areas","133","Trabajamos igual estés donde estés: todo por videollamada, email y WhatsApp.","We work the same wherever you are: all over video call, email and WhatsApp.",""
"copy.ts","BUSINESS_DESCRIPTION","176","Estudio de diseño y programación de páginas web en Irún (Gipuzkoa). Páginas web a medida, tiendas online, branding y SEO local para negocios de Irún, Donostia-San Sebastián y toda Gipuzkoa.","Web design and development studio based in Irún, Basque Country (Spain). Custom websites, online stores, branding and local SEO for small businesses.",""
"copy.ts","OFFER_CATALOG","182","Servicios de diseño y desarrollo web","Web design and development services",""
"copy.ts","SEO_DEFAULT","188","Diseño de páginas web en Irún y Gipuzkoa | arianet","Web design and development studio | arianet",""
"copy.ts","SEO_DEFAULT","192","Diseño y programación de páginas web en Irún. Webs a medida, tiendas online y SEO local para negocios de Irún, San Sebastián y Gipuzkoa. Desde 29 €/mes.","Custom websites, online stores and SEO for small businesses. Remote studio based in Irún, Basque Country. Flat rate from €29/month, no lock-in.",""
"copy.ts","SEO_DEFAULT","196","${BRAND} — estudio digital","${BRAND} — digital studio",""
"copy.ts","META","202","DISEÑO Y PROGRAMACIÓN WEB","WEB DESIGN & DEVELOPMENT",""
"copy.ts","META","203","IRÚN · GIPUZKOA","IRÚN · GIPUZKOA / SPAIN",""
"copy.ts","META","204","EST. 2026","EST. 2026",""
"copy.ts","NAV","210","SERVICIOS","SERVICES",""
"copy.ts","NAV","211","QUÉ INCLUYE","WHAT YOU GET",""
"copy.ts","NAV","212","PROCESO","PROCESS",""
"copy.ts","NAV","213","TRABAJO","WORK",""
"copy.ts","NAV","214","TARIFAS","PRICING",""
"copy.ts","NAV","215","FAQ","FAQ",""
"copy.ts","NAV","217","HABLEMOS →","LET'S TALK →",""
"copy.ts","NAV","219","Inicio","Home",""
"copy.ts","NAV","220","MENÚ","MENU",""
"copy.ts","NAV","221","CERRAR","CLOSE",""
"copy.ts","NAV","222","IDIOMA","LANGUAGE",""
"copy.ts","NAV","224","Abrir menú","Open menu",""
"copy.ts","NAV","225","Cerrar menú","Close menu",""
"copy.ts","HERO","231","DISPONIBLES PARA PROYECTOS","OPEN FOR NEW PROJECTS",""
"copy.ts","HERO","232","QUÉ HACEMOS ↓","WHAT WE DO ↓",""
"copy.ts","HERO","237","DISEÑO WEB","WEB DESIGN",""
"copy.ts","HERO","238","EN IRÚN","IN IRÚN",""
"copy.ts","HERO","243","Diseño y programación de páginas web para negocios de Irún, Donostia-San Sebastián y toda Gipuzkoa. En remoto, también para el resto de España.","Web design and development for businesses in Irún, Donostia-San Sebastián and across Gipuzkoa. Remotely, for the rest of Spain too.",""
