"fichero","seccion","linea","castellano","ingles_referencia","EUSKERA"
"copy.ts","AREAS_INTRO","83","(ZONA / 07)","(AREA / 07)","(EREMUA / 07)"
"copy.ts","AREAS_INTRO","84","DÓNDE TRABAJAMOS","WHERE WE WORK","NON EGITEN DUGU LAN"
"copy.ts","AREAS_INTRO","86","Somos un estudio de Irún y trabajamos en remoto: con Gipuzkoa, que es nuestra casa, y con toda España.","We are a studio from Irún and we work remotely: with Gipuzkoa, which is home, and with the whole of Spain.","Irungo estudio bat gara eta urrunetik egiten dugu lan: Gipuzkoarekin, gure etxea baita, eta Espainia osoarekin."
"copy.ts","areas","98","Nuestra base. Comercios, hostelería y pymes del Bidasoa, la zona que mejor conocemos.","Our home base. Shops, restaurants and small businesses in the Bidasoa area — the ground we know best.","Gure oinarria. Bidasoako dendak, ostalaritza eta ETEak, ondoen ezagutzen dugun eremua."
"copy.ts","areas","108","Comercio, hostelería, estudios y profesionales de Donostia y su comarca.","Shops, restaurants, studios and professionals in Donostia and its surroundings.","Donostiako eta eskualdeko dendak, ostalaritza, estudioak eta profesionalak."
"copy.ts","areas","118","Toda la provincia: Errenteria, Oiartzun, Pasaia, Lezo, Hernani, Tolosa, Eibar.","The whole province: Errenteria, Oiartzun, Pasaia, Lezo, Hernani, Tolosa, Eibar.","Probintzia osoa: Errenteria, Oiartzun, Pasaia, Lezo, Hernani, Tolosa, Eibar."
"copy.ts","areas","128","Restaurantes, hoteles y comercio del casco histórico y la Marina.","Restaurants, hotels and shops in the old town and the Marina.","Alde zaharreko eta Marinako jatetxeak, hotelak eta dendak."
"copy.ts","areas","138","Trabajamos igual estés donde estés: todo por videollamada, email y WhatsApp.","We work the same wherever you are: all over video call, email and WhatsApp.","Berdin egiten dugu lan non zauden ere: dena bideo-deiz, emailez eta WhatsAppez."
"copy.ts","BUSINESS_DESCRIPTION","182","Estudio de diseño y programación de páginas web en Irún (Gipuzkoa). Páginas web a medida, tiendas online, branding y SEO local para negocios de Irún, Donostia-San Sebastián y toda Gipuzkoa.","Web design and development studio based in Irún, Basque Country (Spain). Custom websites, online stores, branding and local SEO for small businesses.","Web orrien diseinu eta programazio estudioa Irunen (Gipuzkoa). Neurrira egindako web orriak, online dendak, brandinga eta tokiko SEOa Irungo, Donostiako eta Gipuzkoa osoko negozioentzat."
"copy.ts","OFFER_CATALOG","189","Servicios de diseño y desarrollo web","Web design and development services","Web diseinu eta garapen zerbitzuak"
"copy.ts","SEO_DEFAULT","196","Diseño de páginas web en Irún y Gipuzkoa | arianet","Web design and development studio | arianet","Web orrien diseinua Irunen eta Gipuzkoan | arianet"
"copy.ts","SEO_DEFAULT","201","Diseño y programación de páginas web en Irún. Webs a medida, tiendas online y SEO local para negocios de Irún, San Sebastián y Gipuzkoa. Desde 29 €/mes.","Custom websites, online stores and SEO for small businesses. Remote studio based in Irún, Basque Country. Flat rate from €29/month, no lock-in.","Web orrien diseinua eta programazioa Irunen. Neurrira egindako webak, online dendak eta tokiko SEOa Irungo, Donostiako eta Gipuzkoako negozioentzat. 29 €/hilabetetik aurrera."
"copy.ts","SEO_DEFAULT","206","${BRAND} — estudio digital","${BRAND} — digital studio","${BRAND} — estudio digitala"
"copy.ts","META","214","DISEÑO Y PROGRAMACIÓN WEB","WEB DESIGN & DEVELOPMENT","WEB DISEINUA ETA PROGRAMAZIOA"
"copy.ts","META","218","IRÚN · GIPUZKOA","IRÚN · GIPUZKOA / SPAIN","IRUN · GIPUZKOA"
"copy.ts","META","219","EST. 2026","EST. 2026","EST. 2026"
"copy.ts","NAV","225","SERVICIOS","SERVICES","ZERBITZUAK"
"copy.ts","NAV","226","QUÉ INCLUYE","WHAT YOU GET","ZER SARTZEN DEN"
"copy.ts","NAV","227","PROCESO","PROCESS","PROZESUA"
"copy.ts","NAV","228","TRABAJO","WORK","LANA"
"copy.ts","NAV","229","TARIFAS","PRICING","TARIFAK"
"copy.ts","NAV","230","FAQ","FAQ","FAQ"
"copy.ts","NAV","232","HABLEMOS →","LET'S TALK →","HITZ EGIN DEZAGUN →"
"copy.ts","NAV","234","Inicio","Home","Hasiera"
"copy.ts","NAV","235","MENÚ","MENU","MENUA"
"copy.ts","NAV","236","CERRAR","CLOSE","ITXI"
"copy.ts","NAV","237","IDIOMA","LANGUAGE","HIZKUNTZA"
"copy.ts","NAV","239","Abrir menú","Open menu","Menua ireki"
"copy.ts","NAV","240","Cerrar menú","Close menu","Menua itxi"
"copy.ts","HERO","247","DISPONIBLES PARA PROYECTOS","OPEN FOR NEW PROJECTS","PROIEKTU BERRIETARAKO PREST"
"copy.ts","HERO","251","QUÉ HACEMOS ↓","WHAT WE DO ↓","ZER EGITEN DUGUN ↓"
"copy.ts","HERO","256","DISEÑO WEB","WEB DESIGN","WEB DISEINUA"
"copy.ts","HERO","257","EN IRÚN","IN IRÚN","IRUNEN"
"copy.ts","HERO","262","Diseño y programación de páginas web para negocios de Irún, Donostia-San Sebastián y toda Gipuzkoa. En remoto, también para el resto de España.","Web design and development for businesses in Irún, Donostia-San Sebastián and across Gipuzkoa. Remotely, for the rest of Spain too.","Web orrien diseinua eta programazioa Irungo, Donostiako eta Gipuzkoa osoko negozioentzat. Urrunetik, Espainia osorako ere bai."
"copy.ts","HERO","267","Construimos las webs que tu competencia va a querer copiar. Branding, páginas web y tiendas online, diseñadas desde cero. Tarifa plana desde 29 €/mes, sin permanencia.","We build the websites your competitors will wish they had. Branding, websites and online stores, designed from scratch. Flat rate from €29/mo, no lock-in.","Zure lehiakideek kopiatu nahiko dituzten webak eraikitzen ditugu. Brandinga, web orriak eta online dendak, hutsetik diseinatuak. Tarifa laua 29 €/hilabetetik aurrera, iraunkortasunik gabe."
"copy.ts","HERO","271","EMPEZAR PROYECTO →","START A PROJECT →","PROIEKTUA HASI →"
"copy.ts","HERO","272","VER TRABAJO","SEE WORK","LANA IKUSI"
"copy.ts","heroIndex","277","BRANDING","BRANDING","BRANDINGA"
"copy.ts","heroIndex","278","WEB","WEB","WEB"
"copy.ts","heroIndex","279","E-COMMERCE","E-COMMERCE","E-COMMERCE"
"copy.ts","heroIndex","280","UX / UI","UX / UI","UX / UI"
"copy.ts","heroIndex","281","MOBILE","MOBILE","MUGIKORRA"
"copy.ts","heroIndex","282","SEO","SEO","SEO"
"copy.ts","marquee","287","Branding","Branding","Brandinga"
"copy.ts","marquee","288","Diseño Web","Web Design","Web Diseinua"
"copy.ts","marquee","289","E-Commerce","E-Commerce","E-Commerce"
"copy.ts","marquee","290","UX/UI","UX/UI","UX/UI"
"copy.ts","marquee","291","Apps Móviles","Mobile Apps","Mugikorreko Appak"
"copy.ts","marquee","292","SEO","SEO","SEO"
"copy.ts","marquee","293","Landing Pages","Landing Pages","Landing Orriak"
"copy.ts","marquee","294","Mantenimiento","Maintenance","Mantentze-lanak"
"copy.ts","WORK_INTRO","299","(TRABAJO / 04)","(WORK / 04)","(LANA / 04)"
"copy.ts","WORK_INTRO","300","ALGUNOS PROYECTOS","SOME PROJECTS","PROIEKTU BATZUK"
"copy.ts","WORK_INTRO","302","Proyectos reales, no maquetas. Muy pronto habrá más.","Real projects, not mockups. More coming very soon.","Benetako proiektuak, ez maketak. Laster gehiago izango dira."
"copy.ts","WORK_INTRO","307","DESLIZA PARA VER MÁS →","SWIPE TO SEE MORE →","LERRATU GEHIAGO IKUSTEKO →"
"copy.ts","work","321","TIENDA ONLINE","ONLINE STORE","ONLINE DENDA"
"copy.ts","work","324","Boutique de licores en Irún — recogida en tienda y verificación de edad.","A boutique liquor store in Irún — in-store pickup and age verification.","Irungo likore boutiquea — dendan jasotzea eta adin-egiaztapena."
"copy.ts","work","332","APLICACIÓN WEB · UX/UI","WEB APP · UX/UI","WEB APLIKAZIOA · UX/UI"
"copy.ts","work","335","Portal a medida para un clan de Clash of Clans: login, guerras y estadísticas.","A custom portal for a Clash of Clans clan: login, wars and stats.","Clash of Clans klan batentzako neurrira egindako ataria: saioa hastea, guduak eta estatistikak."
"copy.ts","work","343","PROYECTO PROPIO · SEO","OWN PROJECT · SEO","PROIEKTU PROPIOA · SEO"
"copy.ts","work","346","Comparativas y guías para posicionar en buscadores. Sin cliente detrás.","Comparisons and guides built to rank in search. No client behind it.","Konparaketak eta gidak bilatzaileetan kokatzeko. Bezerorik gabe."
